id,sample,date,x,y,county,location,source,stage,sex_id,species_id,DNA_id,Bisected,Digested_DNA,Extracted_DNA,rick17k,rompA,Sequencing
baker-46,18-046,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_46.12,engorged,,,,,
baker-46,18-046,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_46.13,engorged,,,,,
baker-46,18-046,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_46.14,engorged,,,,,
baker-46,18-046,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_46.15,engorged,,,,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.1,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.2,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.3,1,1,1,0,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.4,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.5,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.6,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.7,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.8,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.9,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,female,andersoni,1_47.10,1,1,1,1,,
baker-47,18-047,6/3/18,-117.6872,44.8028,baker,baker,host,adult,male,andersoni,1_47.11,1,1,1,0,,
